Account,total_trades,total_pnl,win_rate,avg_trade_size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.597689,0.3371343243059798,3837.885375008484
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,0.3596123624934521,16159.57673389209
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.80622,0.46758210645526616,3210.472831257078
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,0.40119320039228507,34396.58028440667
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,836080.553077,0.428230141349791,1844.2118863229146
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,0.48622589531680444,9084.699093204776
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,429355.565915,0.34591194968553457,7216.667245283019
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,0.48423605497170574,2397.824753435732
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,0.8108763772364298,2600.7780491256444
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,360539.510029,0.30337078651685395,2080.390077247191
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,0.3603639240506329,17098.171054852322
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,220519.061853,0.32752745172283226,7852.098337750852
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,0.2349869451697128,5189.367127937337
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,0.5199135535659154,3138.894782340228
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,0.43858462925400044,507.6269326121253
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,0.2853866317169069,3601.689298820446
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,0.4317948717948718,746.7256512820513
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,0.3457866068567767,1273.1950003204101
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,0.35344524005164923,517.5289235825802
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,0.5731414868105515,2066.6892086330936
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67845.619531,0.40852575488454707,2979.4417761989343
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,65513.657906,0.33019361590790164,6279.002286760858
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,0.4759036144578313,3445.471265060241
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,0.4427197802197802,1653.2263269230768
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.008976,0.26196826243499133,820.4285131350847
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,0.4386109962794543,22504.555828854896
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21758.831753,0.32209737827715357,8330.193370786517
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,14900.443047,0.45221295702373315,3748.8675112251444
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,0.32766787405962666,4790.5754862078575
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986,0.45521472392638035,1729.9411042944785
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,0.3019165135206091,8893.000897873459
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.124781,0.38274288198217776,2204.6855314062163
